Degree	Distmult	GCN
300	0.6536916240941507	0.6293773581722328
600	0.5556106272687561	0.5512483079211152
900	0.31121699912347683	0.5487763532095258
1200	0.6950831393053074	0.9485689477646204
1500	0.22483596124764144	0.8317041160792383
1800	0.12834929884746358	0.1860620304656807
2100	0.03806177608243675	0.10174662893387805
2400	0.02114032898149883	0.041112266693905254
2700	0.01783964699853597 0.019568643725269452
